N°	Fecha	Último	Apertura	Máximo	Mínimo	Vol.	% var.
1	04.05.2020	293.16	289.17	293.69	286.32	33.39M	1.41%
2	05.05.2020	297.56	295.06	301	294.46	36.94M	1.50%
3	06.05.2020	300.63	300.46	303.24	298.87	35.58M	1.03%
4	07.05.2020	303.74	303.22	305.17	301.97	28.80M	1.03%
5	08.05.2020	310.13	305.64	310.35	304.29	33.51M	2.10%
6	11.05.2020	315.01	308.1	317.05	307.24	36.49M	1.57%
7	12.05.2020	311.41	317.83	319.69	310.91	40.58M	-1.14%
8	13.05.2020	307.65	312.08	315.94	303.28	50.16M	-1.21%
9	14.05.2020	309.54	304.36	309.61	301.6	39.73M	0.61%
10	15.05.2020	307.71	301.1	307.85	301.1	41.59M	-0.59%
11	18.05.2020	314.96	312.96	316.5	310.35	33.84M	2.36%
12	19.05.2020	313.14	315.03	318.51	313.09	25.43M	-0.58%
13	20.05.2020	319.23	316.63	319.52	316.37	27.88M	1.94%
14	21.05.2020	316.85	318.65	320.87	315.87	25.67M	-0.75%
15	22.05.2020	318.89	315.98	319.1	315.41	20.45M	0.64%
16	26.05.2020	316.73	323.7	324.04	316.59	31.38M	-0.68%
17	27.05.2020	318.11	316.17	318.63	313.19	28.24M	0.44%
18	28.05.2020	320.19	316.89	323.43	315.93	24.79M	0.65%
